round,loss,accuracy,alpha0,method,repetition
7,3.85463,0.3,0.9,fedasync,10
8,5.98488,0.30875,0.9,fedasync,10
9,2.61245,0.36,0.9,fedasync,10
10,3.83861,0.3225,0.9,fedasync,10
11,3.20774,0.33625,0.9,fedasync,10
12,2.89399,0.41625,0.9,fedasync,10
13,2.27891,0.4,0.9,fedasync,10
14,2.9082,0.4,0.9,fedasync,10
15,3.32088,0.39875,0.9,fedasync,10
16,3.60571,0.39625,0.9,fedasync,10
17,2.93524,0.4175,0.9,fedasync,10
18,3.42546,0.36625,0.9,fedasync,10
19,3.82938,0.35,0.9,fedasync,10
20,2.4588,0.4075,0.9,fedasync,10
21,2.92304,0.3675,0.9,fedasync,10
22,3.08772,0.36125,0.9,fedasync,10
23,3.22721,0.35125,0.9,fedasync,10
24,3.58874,0.395,0.9,fedasync,10
25,3.99014,0.37625,0.9,fedasync,10
26,2.87392,0.4125,0.9,fedasync,10
27,2.04713,0.49,0.9,fedasync,10
28,2.58311,0.525,0.9,fedasync,10
29,2.39003,0.555,0.9,fedasync,10
30,1.96148,0.51625,0.9,fedasync,10
31,2.45473,0.51,0.9,fedasync,10
32,1.91261,0.55875,0.9,fedasync,10
33,2.26918,0.5575,0.9,fedasync,10
34,2.71042,0.46125,0.9,fedasync,10
35,2.0945,0.5175,0.9,fedasync,10
36,3.30018,0.445,0.9,fedasync,10
37,3.72842,0.4225,0.9,fedasync,10
38,3.92684,0.4125,0.9,fedasync,10
39,2.07732,0.5375,0.9,fedasync,10
40,2.5443,0.5125,0.9,fedasync,10
41,3.01036,0.44375,0.9,fedasync,10
42,1.87834,0.50875,0.9,fedasync,10
43,3.19068,0.46,0.9,fedasync,10
44,3.46432,0.4525,0.9,fedasync,10
45,2.34729,0.48125,0.9,fedasync,10
46,2.04347,0.545,0.9,fedasync,10
47,2.65969,0.55875,0.9,fedasync,10
48,2.25101,0.56,0.9,fedasync,10
49,2.58064,0.54,0.9,fedasync,10
50,2.03236,0.56375,0.9,fedasync,10
51,1.76405,0.57125,0.9,fedasync,10
52,1.84477,0.58625,0.9,fedasync,10
53,2.42876,0.5325,0.9,fedasync,10
54,2.22202,0.57625,0.9,fedasync,10
55,2.0094,0.6125,0.9,fedasync,10
56,3.03127,0.455,0.9,fedasync,10
57,1.81868,0.6275,0.9,fedasync,10
58,2.29337,0.60375,0.9,fedasync,10
59,3.34416,0.49125,0.9,fedasync,10
60,1.49332,0.5325,0.9,fedasync,10
61,2.66181,0.5,0.9,fedasync,10
62,2.2601,0.54875,0.9,fedasync,10
63,2.67099,0.54625,0.9,fedasync,10
64,3.02198,0.54125,0.9,fedasync,10
65,3.23253,0.48875,0.9,fedasync,10
66,1.95428,0.60875,0.9,fedasync,10
67,2.85344,0.51625,0.9,fedasync,10
68,2.46526,0.5375,0.9,fedasync,10
69,2.807,0.52625,0.9,fedasync,10
70,1.78879,0.54375,0.9,fedasync,10
71,2.28902,0.4875,0.9,fedasync,10
72,1.80183,0.6275,0.9,fedasync,10
73,2.8908,0.585,0.9,fedasync,10
74,3.40921,0.555,0.9,fedasync,10
75,2.00181,0.64875,0.9,fedasync,10
76,2.09547,0.63125,0.9,fedasync,10
77,2.94844,0.605,0.9,fedasync,10
78,2.66596,0.56375,0.9,fedasync,10
79,2.98426,0.53125,0.9,fedasync,10
80,1.6339,0.615,0.9,fedasync,10
81,2.05726,0.59875,0.9,fedasync,10
82,2.3086,0.59375,0.9,fedasync,10
83,1.59821,0.6725,0.9,fedasync,10
84,2.58245,0.55875,0.9,fedasync,10
85,1.74269,0.645,0.9,fedasync,10
86,3.15263,0.55375,0.9,fedasync,10
87,3.57368,0.53875,0.9,fedasync,10
88,2.60101,0.5625,0.9,fedasync,10
89,3.25577,0.55875,0.9,fedasync,10
90,2.38737,0.58625,0.9,fedasync,10
91,3.44914,0.55125,0.9,fedasync,10
92,1.41731,0.64625,0.9,fedasync,10
93,1.41345,0.68375,0.9,fedasync,10
94,1.46919,0.6875,0.9,fedasync,10
95,1.9029,0.60875,0.9,fedasync,10
96,1.23678,0.7125,0.9,fedasync,10
97,2.30807,0.58,0.9,fedasync,10
98,1.77304,0.6525,0.9,fedasync,10
99,2.71215,0.57125,0.9,fedasync,10
100,1.72059,0.6625,0.9,fedasync,10
101,1.77035,0.61,0.9,fedasync,10
